name,longitude,latitude
Amphiprion clarkii,130.502866,30.458321
Amphiprion clarkii,130.502866,30.458321
Amphiprion clarkii,130.502866,30.458321
Amphiprion clarkii,109.289934,12.195074
Amphiprion melanopus,115.917874,-8.742739
Amphiprion allardi,40.55865,-12.147609
Amphiprion melanopus,146.013207,-16.585357
Amphiprion percula,145.465668,-14.687846
Amphiprion clarkii,145.465371,-14.687379
Amphiprion chrysopterus,149.4703,-9.132183
Amphiprion percula,149.3136,-9.0809
Amphiprion akindynos,152.707481,-24.113638
Amphiprion akindynos,152.707481,-24.113638
Amphiprion clarkii,152.707481,-24.113638
Amphiprion clarkii,134.126756,-0.863121
Amphiprion melanopus,145.450665,-14.663201
Amphiprion ocellaris,115.596937,-8.272966
Amphiprion akallopisos,92.732474,11.55471
Amphiprion ocellaris,92.733905,11.55431
Amphiprion allardi,39.149931,-6.171504
Amphiprion akallopisos,39.14927,-6.172398
Amphiprion akallopisos,39.283019,-6.358655
Amphiprion allardi,39.282248,-6.358972
Amphiprion allardi,39.288056,-5.747562
Amphiprion akallopisos,39.285074,-5.754093
Amphiprion akallopisos,39.284992,-5.752297
Amphiprion akallopisos,39.287612,-5.749534
Amphiprion akallopisos,39.287499,-5.748387
Amphiprion allardi,39.284136,-6.365096
Amphiprion akallopisos,39.280666,-6.358095
Amphiprion allardi,39.291176,-5.726822
Amphiprion allardi,39.290208,-5.72777
Amphiprion allardi,39.290851,-5.726761
Amphiprion akallopisos,39.290338,-5.726907
Amphiprion allardi,39.383017,-5.817373
Amphiprion akallopisos,39.290324,-5.727859
Amphiprion akallopisos,39.290518,-5.726261
Amphiprion allardi,39.291511,-5.726527
Amphiprion allardi,39.291594,-5.726144
Amphiprion akallopisos,39.382704,-5.818194
Amphiprion clarkii,125.724151,6.975351
Amphiprion ocellaris,104.134981,2.810115
Amphiprion clarkii,103.667578,4.844842
Amphiprion perideraion,104.098698,2.934616
Amphiprion perideraion,125.724151,6.975351
Amphiprion allardi,40.564439,-13.095223
Amphiprion barberi,177.193538,-17.165885
Amphiprion frenatus,109.312657,12.171001
Amphiprion perideraion,124.115636,11.335846
Amphiprion ocellaris,124.115636,11.335846
Amphiprion clarkii,124.793994,1.462009
Amphiprion latezonatus,153.55,-27.416667
Amphiprion akindynos,153.55,-27.416667
Amphiprion rubrocinctus,113.685652,-23.022704
Amphiprion bicinctus,34.25648,27.739557
Amphiprion bicinctus,33.873523,27.560327
Amphiprion bicinctus,33.908721,27.352994
Amphiprion bicinctus,33.873523,27.560327
Amphiprion bicinctus,33.873523,27.560327
Amphiprion bicinctus,33.982131,27.161965
Amphiprion clarkii,115.574376,-8.674805
Amphiprion ocellaris,115.574376,-8.674805
Amphiprion polymnus,119.046961,-8.494466
Amphiprion polymnus,119.07227,-8.13173
Amphiprion clarkii,115.551558,-8.66821
Amphiprion melanopus,134.463305,7.338531
Amphiprion perideraion,119.163221,-8.557741
Amphiprion clarkii,115.501849,-8.667677
Amphiprion clarkii,115.589139,-8.703822
Amphiprion allardi,39.26463,-5.770336
Amphiprion clarkii,119.032949,-8.43009
Amphiprion percula,150.103414,-5.29438
Amphiprion clarkii,152.709203,-24.111301
Amphiprion clarkii,114.350794,22.258821
Amphiprion polymnus,104.207053,2.796981
Amphiprion melanopus,145.997878,-16.418427
Amphiprion melanopus,145.998221,-16.418427
Amphiprion frenatus,121.473169,22.655839
Amphiprion clarkii,113.675314,-22.736833
Amphiprion rubrocinctus,113.795341,-22.724808
Amphiprion perideraion,179.434123,-16.812439
Amphiprion chrysopterus,179.44423,-16.820137
Amphiprion chrysopterus,179.44423,-16.820137
Amphiprion sandaracinos,125.159877,1.794123
Amphiprion clarkii,119.606987,23.516358
Amphiprion polymnus,119.033046,-8.429414
Amphiprion clarkii,114.289149,22.361534
Amphiprion clarkii,114.323626,22.223433
Amphiprion frenatus,120.878428,13.726064
Amphiprion chrysopterus,179.443819,-16.816525
Amphiprion chrysopterus,179.443819,-16.816525
Amphiprion perideraion,179.443819,-16.816525
Amphiprion chrysopterus,178.567916,-17.277056
Amphiprion clarkii,114.287669,22.328426
Amphiprion perideraion,178.438371,-17.357257
Amphiprion barberi,178.567511,-17.278278
Amphiprion chrysopterus,178.427933,-17.350411
Amphiprion clarkii,114.287669,22.328426
Amphiprion perideraion,178.567916,-17.277056
Amphiprion ocellaris,123.368431,9.944354
Amphiprion perideraion,178.427933,-17.350411
Amphiprion chrysopterus,179.064706,-17.114467
Amphiprion bicinctus,34.513654,28.509197
Amphiprion allardi,39.294027,-6.351046
Amphiprion chrysopterus,179.203278,-17.999156
Amphiprion perideraion,179.202906,-17.996553
Amphiprion chrysopterus,179.203278,-17.999156
Amphiprion mccullochi,159.065813,-31.517472
Amphiprion ocellaris,116.008057,5.974585
Amphiprion clarkii,116.009087,6.008626
Amphiprion clarkii,116.009033,6.008622
Amphiprion ocellaris,116.008995,6.008443
Amphiprion ocellaris,116.009018,6.00842
Amphiprion ocellaris,116.008987,6.008391
Amphiprion mccullochi,159.053661,-31.52107
Amphiprion mccullochi,159.053661,-31.52107
Amphiprion mccullochi,159.065805,-31.517486
Amphiprion mccullochi,159.065805,-31.517486
Amphiprion mccullochi,159.065805,-31.517486
Amphiprion mccullochi,159.065805,-31.517486
Amphiprion mccullochi,159.057226,-31.531137
Amphiprion mccullochi,159.065805,-31.517486
Amphiprion mccullochi,159.057226,-31.531137
Amphiprion mccullochi,159.065145,-31.550325
Amphiprion mccullochi,159.067568,-31.536116
Amphiprion mccullochi,159.065805,-31.517486
Amphiprion bicinctus,33.983671,27.235678
Amphiprion mccullochi,159.067568,-31.536116
Amphiprion latifasciatus,47.812342,-13.642448
Amphiprion akallopisos,47.956873,-13.48653
Amphiprion akindynos,151.910917,-23.442662
Amphiprion clarkii,118.86434,4.595825
Amphiprion leucokranos,157.997076,-8.512749
Amphiprion melanopus,159.120866,-9.074917
Amphiprion sandaracinos,159.120866,-9.074917
Amphiprion akallopisos,39.284942,-6.316357
Amphiprion polymnus,125.235275,1.470222
Amphiprion melanopus,151.910917,-23.442829
Amphiprion percula,160.193208,-9.031927
Amphiprion percula,160.193208,-9.031927
Amphiprion allardi,39.477462,-6.45828
Amphiprion chrysopterus,157.997076,-8.512749
Amphiprion chrysopterus,157.997076,-8.512749
Amphiprion barberi,177.065431,-17.637769
Amphiprion sandaracinos,157.997076,-8.512749
Amphiprion chrysopterus,161.537778,-9.518333
Amphiprion percula,159.254075,-9.0166
Amphiprion perideraion,159.244805,-9.012531
Amphiprion barberi,177.065442,-17.637759
Amphiprion leucokranos,159.248582,-9.013209
Amphiprion barberi,177.195872,-17.774747
Amphiprion melanopus,159.035207,-9.029125
Amphiprion chrysopterus,161.537778,-9.518333
Amphiprion clarkii,114.297302,22.363325
Amphiprion ocellaris,116.885937,20.655543
Amphiprion perideraion,123.18771,9.078787
Amphiprion fuscocaudatus,55.333866,-4.502084
Amphiprion bicinctus,34.948534,29.549954
Amphiprion clarkii,123.890246,-5.624468
Amphiprion clarkii,130.737498,-0.884492
Amphiprion ocellaris,130.733313,-0.887763
Amphiprion polymnus,130.733454,-0.889118
Amphiprion clarkii,73.121945,5.954395
Amphiprion nigripes,73.121945,5.954395
Amphiprion nigripes,73.121945,5.954395
Amphiprion nigripes,73.121945,5.954395
Amphiprion ocellaris,125.074603,9.930278
Amphiprion sandaracinos,125.074603,9.930278
Amphiprion clarkii,125.074603,9.930278
Amphiprion clarkii,123.275067,9.19778
Amphiprion clarkii,123.890246,-5.624468
Amphiprion ocellaris,99.070266,7.21654
Amphiprion ocellaris,99.071657,7.216991
Amphiprion clarkii,120.151901,12.048918
Amphiprion polymnus,124.119243,11.34827
Amphiprion clarkii,114.17212,-21.876192
Amphiprion ocellaris,120.151901,12.048918
Amphiprion ocellaris,120.151901,12.048918
Amphiprion frenatus,120.744782,21.930115
Amphiprion bicinctus,34.742718,25.339934
Amphiprion ocellaris,120.151901,12.048918
Amphiprion nigripes,73.015602,4.294148
Amphiprion clarkii,118.917384,4.57936
Amphiprion clarkii,118.917384,4.57936
Amphiprion perideraion,125.249825,1.478059
Amphiprion clarkii,125.249485,1.477764
Amphiprion frenatus,125.022595,10.027633
Amphiprion ocellaris,125.022595,10.027633
Amphiprion sandaracinos,125.03681,10.012886
Amphiprion frenatus,125.068789,9.820348
Amphiprion ocellaris,125.064302,9.963926
Amphiprion perideraion,125.105906,10.286962
Amphiprion frenatus,125.178341,10.144973
Amphiprion ocellaris,125.060244,10.067078
Amphiprion ocellaris,118.86434,4.595825
Amphiprion sandaracinos,118.86434,4.595825
Amphiprion perideraion,118.86434,4.595825
Amphiprion perideraion,105.62247,-10.405995
Amphiprion clarkii,105.592601,-10.437059
Amphiprion ocellaris,120.745206,21.930241
Amphiprion clarkii,57.961979,23.839335
Amphiprion ocellaris,115.59411,-8.275241
Amphiprion polymnus,115.916904,-8.7156
Amphiprion polymnus,115.908344,-8.722924
Amphiprion ocellaris,115.912464,-8.714525
Amphiprion polymnus,115.916218,-8.712801
Amphiprion clarkii,122.378051,9.872102
Amphiprion clarkii,115.906885,-8.728099
Amphiprion clarkii,115.925167,-8.715373
Amphiprion clarkii,115.868175,-8.724536
Amphiprion polymnus,115.900866,-8.723815
Amphiprion ocellaris,115.518709,-8.508368
Amphiprion polymnus,115.513594,-8.530042
Amphiprion clarkii,115.660066,-8.337999
Amphiprion clarkii,115.661562,-8.338058
Amphiprion ocellaris,124.009596,10.282396
Amphiprion ocellaris,124.05022,10.262325
Amphiprion frenatus,124.05022,10.262325
Amphiprion clarkii,124.05022,10.262325
Amphiprion ocellaris,99.295515,6.488951
Amphiprion chrysogaster,55.208087,-21.072765
Amphiprion chrysogaster,55.214939,-21.023453
Amphiprion ocellaris,99.299758,6.485849
Amphiprion chrysogaster,55.20802,-21.073241
Amphiprion latifasciatus,48.259261,-13.315019
Amphiprion clarkii,149.06626,-19.819292
Amphiprion frenatus,103.746568,1.225531
Amphiprion bicinctus,33.928528,27.191919
Amphiprion mccullochi,159.066886,-31.517806
Amphiprion mccullochi,159.1,-31.5
Amphiprion mccullochi,159.147711,-31.442996
Amphiprion mccullochi,159.066886,-31.517806
Amphiprion clarkii,115.510941,-8.532141
Amphiprion perideraion,115.509999,-8.51784
Amphiprion ocellaris,115.509999,-8.51784
Amphiprion melanopus,115.509999,-8.51784
Amphiprion melanopus,115.509888,-8.519052
Amphiprion clarkii,115.513921,-8.529939
Amphiprion polymnus,115.513921,-8.529939
Amphiprion ocellaris,115.51409,-8.529055
Amphiprion polymnus,115.513999,-8.530018
Amphiprion melanopus,115.510144,-8.519532
Amphiprion ocellaris,115.996,6.01534
Amphiprion percula,115.996,6.01534
Amphiprion frenatus,115.996,6.01534
Amphiprion clarkii,116.005,6.02029
Amphiprion polymnus,116.008,6.00658
